Name,0,2,4,6,8,0a,flag,0e,race,level,hp,14,mp,18,st,1c,ma,vt,ag,lu,2e,30,Inheritence Preference,34,macca,exp,3a,ai script,ai skill 1-1,ai skill 1-2,ai skill 1-3,ai skill 1-4,ai skill 1-5,ai skill 2-1,ai skill 2-2,ai skill 2-3,ai skill 2-4,ai skill 2-5,ai skill 3-1,ai skill 3-2,ai skill 3-3,ai skill 3-4,ai skill 3-5,learn skill 1,learn skill 2,learn skill 3,learn skill 4,learn skill 5,learn skill 6,learn skill 7,learn skill 8,learn skill 9,learn skill 10,learn skill 11,learn skill 12,binary skill affinities,Inher B1,Breath Skills,Wing Skills,Eye Skills,Lunge Skills,Bite Skills,Claw Skills,Not Dante?,Weapon Skills,Inher B10,Proper Women?,Talk Skills
Uzume,8,0,0,1281,256,0,65,0,2,18,156,156,90,90,6,0,12,8,8,12,0,0,2: Support,2177,86,60,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agi: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Media: level 0,Mazan: level 0,Hama: level 1,Seduce: level 2,Petradi: level 3,Life Bonus: level 4,Mana Refill: level 5,,,,,,0b100010000001,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Shiva,0,0,0,1281,256,0,65,0,3,95,786,786,363,363,32,0,26,36,26,15,0,0,5: Elec,2459,1110,1076,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Victory Cry: level 0,Hassohappa: level 0,Allure: level 0,Bolt Storm: level 1,Avenge: level 2,Megidolaon: level 3,Phys Drain: level 4,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Beiji-Weng,0,0,0,1281,256,0,65,0,3,61,756,756,255,255,23,0,24,23,14,12,0,0,9: Death,2443,512,532,103,70,Attack: 20,Stasis Blade: 10,Thunderclap: 10,Hell Gaze: 30,Mamudoon: 30,Holy Wrath: 80,Stasis Blade: 5,Thunderclap: 5,Hell Gaze: 5,Mamudoon: 5,None: 0,None: 0,None: 0,None: 0,None: 0,Mana Aid: level 0,Stasis Blade: level 0,Thunderclap: level 0,Hell Gaze: level 1,Wooing: level 2,Mamudoon: level 3,Holy Wrath: level 4,,,,,,0b100110001011,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Wu Kong,8,0,0,1281,256,0,67,0,3,54,432,432,201,201,22,0,13,18,20,16,0,0,1: Phys,2459,417,424,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Hassohappa: level 1,Dark Pledge: level 2,Attack All: level 3,Avenge: level 4,,,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Dionysus,0,0,0,1281,256,0,65,0,3,44,354,354,192,192,16,0,20,15,13,15,0,0,3: Fire,2193,299,291,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Maragion: level 0,Void Fire: level 0,Wine Party: level 1,Dismal Tune: level 2,Tempest: level 3,Maragidyne: level 4,,,,,,,0b100010010001,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Kali,0,0,0,1281,256,0,65,0,4,67,810,810,258,258,25,0,19,23,19,13,0,0,1: Phys,2459,600,628,100,70,Attack: 10,Dark Sword: 30,Tentarafoo: 20,Deathbound: 30,Fog Breath: 10,Attack: 40,Dark Sword: 10,Tentarafoo: 40,Deathbound: 10,None: 0,Attack: 10,Dark Sword: 20,Tentarafoo: 10,Deathbound: 20,Fog Breath: 40,Tentarafoo: level 0,Deathbound: level 0,Avenge: level 1,Fog Breath: level 2,Life Surge: level 3,Dark Sword: level 4,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Skadi,8,0,0,1281,256,0,67,0,4,74,570,570,309,309,23,0,29,21,18,15,0,0,6: Force,2185,713,740,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Thunderclap: level 0,Mazandyne: level 0,Makajamon: level 1,Makajamon: level 1,Makakaja: level 2,Makakaja: level 2,Elec Repel: level 3,Elec Repel: level 3,Earthquake: level 4,Earthquake: level 4,,,0b100010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Parvati,0,0,0,1281,256,0,67,0,4,57,432,432,240,240,15,0,23,15,16,20,0,0,2: Support,3209,456,469,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Agidyne: level 0,Recarm: level 0,Sexy Gaze: level 0,Mediarama: level 1,Mediarama: level 1,Tetrakarn: level 2,Tetrakarn: level 2,Thunderclap: level 3,Thunderclap: level 3,Radiance: level 4,Radiance: level 4,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Kushinada,0,0,0,1281,256,0,65,0,4,41,330,330,180,180,12,0,19,14,10,18,0,0,2: Support,3209,268,256,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Mediarama: level 0,Nag: level 0,Toxic Sting: level 0,Maragion: level 1,Paraladi: level 2,Lucky Find: level 3,Beseech: level 4,,,,,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Kikuri-Hime,0,0,0,1281,256,0,65,0,4,24,210,210,120,120,10,0,16,11,8,11,0,0,2: Support,3209,123,99,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Diarama: level 0,Sexy Gaze: level 0,Maiden's Plea: level 1,Posumudi: level 2,Me Patra: level 3,Recarm: level 4,,,,,,,0b110010001001,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
Bishamon,0,0,0,1281,256,0,65,0,5,72,582,582,267,267,25,0,17,25,17,15,0,0,3: Fire,2459,680,708,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Thunderclap: level 0,Attack All: level 0,Prominence: level 1,Fire Boost: level 2,Detain: level 3,Endure: level 4,Hassohappa: level 5,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Thor,0,0,0,1281,256,0,65,0,5,76,612,612,288,288,28,0,20,26,12,17,0,0,5: Elec,2457,747,772,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Avenge: level 0,Ziodyne: level 0,Hades Blast: level 0,Mediarahan: level 1,Maziodyne: level 2,Stasis Blade: level 3,Fire Repel: level 4,,,,,,0b100110011001,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Jikoku,0,0,0,1281,256,0,65,0,5,52,426,426,204,204,21,0,16,19,11,12,0,0,4: Ice,2459,392,396,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Stasis Blade: level 0,Diarahan: level 0,Dekunda: level 1,Bufudyne: level 2,Dark Pledge: level 3,Mazandyne: level 4,Bolt Storm: level 5,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Mikazuchi,0,0,0,1281,256,0,65,0,5,45,558,558,177,177,19,0,14,17,11,11,0,0,5: Elec,2459,310,303,101,70,Ziodyne: 30,Mazionga: 30,Bolt Storm: 30,Dark Sword: 10,None: 0,Attack: 90,Ziodyne: 5,Mazionga: 5,None: 0,None: 0,Ziodyne: 90,Attack: 5,Mazionga: 5,None: 0,None: 0,Ziodyne: level 0,Shock: level 0,Arbitration: level 1,Dark Sword: level 2,Life Refill: level 3,Mazionga: level 4,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Okuninushi,8,0,0,1281,256,0,65,0,5,39,312,312,165,165,16,0,16,13,11,10,0,0,8: Expel,2459,248,233,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Chaos Blade: level 0,Mamudo: level 0,Wooing: level 1,Agidyne: level 2,Makajamon: level 3,Beckon Call: level 4,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Koumoku,0,0,0,1281,256,0,65,0,5,33,282,282,135,135,16,0,12,14,9,9,0,0,6: Force,2459,192,173,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Mighty Gust: level 0,Mazanma: level 0,Life Gain: level 1,Beseech: level 2,Mana Bonus: level 3,Tetraja: level 4,,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Zouchou,0,0,0,1281,256,0,65,0,5,27,234,234,111,111,15,0,10,12,7,10,0,0,1: Phys,2459,144,121,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Brutal Slash: level 0,Agilao: level 0,Mahama: level 0,Detain: level 1,Hamaon: level 2,Anti Death: level 3,Might: level 4,,,,,,0b100110011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Minakata,0,0,0,1281,256,0,65,0,5,17,168,168,75,75,11,0,8,11,9,5,0,0,5: Elec,2203,80,55,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Dia: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Dark Might: level 0,Mazio: level 0,Zionga: level 0,Makajam: level 1,Intimidate: level 2,Stun Gaze: level 3,Dekaja: level 4,Focus: level 5,,,,,0b100010011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Chimera,0,0,0,1281,256,0,64,0,6,55,639,639,204,204,23,0,13,16,17,10,0,0,3: Fire,2299,430,439,1,70,Attack: 20,Fire Breath: 50,Iron Claw: 30,None: 0,None: 0,Attack: 10,Fire Breath: 40,Iron Claw: 30,Kamikaze: 20,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Fire Breath: level 0,Fire Boost: level 0,War Cry: level 0,Iron Claw: level 1,Kidnap: level 2,Kamikaze: level 3,Sonic Wave: level 4,,,,,,0b100011111011,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Baihu,8,0,0,1281,256,0,64,0,6,43,522,522,153,153,19,0,8,15,17,8,0,0,4: Ice,2299,288,279,0,70,Attack: 20,Stone Bite: 30,Bufudyne: 30,Focus: 20,None: 0,Attack: 4,Stone Bite: 3,Bufudyne: 3,Focus: 90,None: 0,Attack: 30,Stone Bite: 70,None: 0,None: 0,None: 0,Life Aid: level 0,Stone Bite: level 0,Ice Breath: level 0,Might: level 1,Beseech: level 2,Focus: level 3,Bufudyne: level 4,,,,,,0b100011111011,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Senri,0,0,0,1281,256,0,66,0,6,27,216,216,123,123,10,0,14,9,12,9,0,0,6: Force,2265,144,121,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Stun Needle: level 0,Marin Karin: level 0,Mazanma: level 1,Mazanma: level 1,Lucky Find: level 2,Lucky Find: level 2,Stone Hunt: level 3,Stone Hunt: level 3,Drain Attack: level 4,Drain Attack: level 4,,,0b100011011001,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Feng Huang,0,0,0,1281,256,0,64,0,6,36,276,276,138,138,10,0,10,10,17,13,0,0,5: Elec,2303,219,202,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Liftoma: level 0,Wing Buffet: level 0,Fire Breath: level 0,Recarm: level 1,Arbitration: level 2,Mazionga: level 3,Life Aid: level 4,,,,,,0b100011111111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Shiisaa,0,0,0,1281,256,0,64,0,6,13,120,120,57,57,9,0,6,7,9,6,0,0,4: Ice,2299,60,36,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Shock: level 0,Feral Claw: level 0,War Cry: level 1,Brainwash: level 2,Stone Bite: level 3,Counter: level 4,Anti Fire: level 5,,,,,,0b100011111011,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Cai-Zhi,0,0,0,1281,256,0,64,0,28,26,210,210,114,114,13,0,12,9,9,7,0,0,4: Ice,2235,137,113,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Toxic Cloud: level 0,Mutudi: level 0,Hell Thrust: level 0,Hamaon: level 1,Scout: level 2,Paraladi: level 3,Mabufula: level 4,,,,,,0b100010111011,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Unicorn,0,0,0,1281,256,0,64,0,6,21,186,186,99,99,9,0,12,10,7,7,0,0,2: Support,2235,104,79,0,70,Attack: 100,None: 0,None: 0,None: 0,None: 0,Agilao: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Rakukaja: level 0,Mabufu: level 0,Media: level 0,Life Refill: level 1,Stun Bite: level 2,Tetraja: level 3,Me Patra: level 4,Diarama: level 5,,,,,0b100010111011,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Flaemis,0,0,0,1281,256,0,64,0,7,20,188,188,96,96,10,0,12,6,6,7,0,0,3: Fire,2193,98,100,98,70,Media: 80,Maragi: 20,None: 0,None: 0,None: 0,Maragi: 100,None: 0,None: 0,None: 0,None: 0,Makakaja: 90,Attack: 10,None: 0,None: 0,None: 0,Maragi: level 0,Bright Might: level 0,Makakaja: level 1,Media: level 2,Void Mind: level 3,Agilao: level 4,,,,,,,0b100010010001,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Aquans,8,0,0,1281,256,0,64,0,7,15,152,152,75,75,6,0,10,6,6,8,0,0,4: Ice,2193,70,100,111,32,Sukukaja: 100,None: 0,None: 0,None: 0,None: 0,Bufula: 45,Mabufu: 45,Attack: 10,None: 0,None: 0,Attack: 50,Bufula: 30,Mabufu: 20,None: 0,None: 0,Sukukaja: level 0,Anti Expel: level 0,Mabufu: level 1,Anti Nerve: level 2,Life Bonus: level 3,Bufula: level 4,,,,,,,0b100010010001,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Aeros,8,0,0,1281,256,0,64,0,7,11,102,102,57,57,5,0,8,6,8,5,0,0,2: Support,2193,100,28,106,86,Marin Karin: 40,Attack: 60,None: 0,None: 0,None: 0,Attack: 60,Zio: 40,None: 0,None: 0,None: 0,Zio: 80,Attack: 20,None: 0,None: 0,None: 0,Dia: level 0,Zio: level 0,Lullaby: level 1,Marin Karin: level 2,Anti Mind: level 3,Toxic Sting: level 4,,,,,,,0b100010010001,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Erthys,8,0,0,1281,256,0,64,0,7,7,90,90,36,36,6,0,5,8,4,5,0,0,5: Elec,2193,100,15,104,31,Rakukaja: 50,Zio: 30,Attack: 20,None: 0,None: 0,Mazio: 90,Zio: 10,None: 0,None: 0,None: 0,Attack: 80,Mazio: 20,None: 0,None: 0,None: 0,Zio: level 0,Patra: level 0,Rakukaja: level 1,Anti Curse: level 2,Arbitration: level 3,Mazio: level 4,,,,,,,0b100010010001,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Saki Mitama,8,0,0,1281,256,0,64,0,8,35,270,270,138,138,10,0,11,10,11,20,0,0,7: Magic,2203,210,300,98,70,Attack: 25,Mazanma: 25,Mazionga: 25,Tetrakarn: 25,None: 0,Attack: 20,Mazanma: 20,Mazionga: 20,Tetrakarn: 20,Mediarama: 20,Tetrakarn: 100,None: 0,None: 0,None: 0,None: 0,Dormina: level 0,Trade: level 0,Analyze: level 0,Mazanma: level 1,Mediarama: level 2,Mazionga: level 3,Tetrakarn: level 4,,,,,,0b100010011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Kusi Mitama,8,0,0,1281,256,0,64,0,8,32,240,240,150,150,9,0,18,8,12,12,0,0,7: Magic,2203,184,250,101,70,Attack: 50,Sukukaja: 50,None: 0,None: 0,None: 0,Sukukaja: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Sukukaja: level 0,Dekaja: level 0,Analyze: level 0,Anti Force: level 1,Anti Ice: level 2,Anti Elec: level 3,Anti Fire: level 4,,,,,,0b100010011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Nigi Mitama,8,0,0,1281,256,0,64,0,8,29,234,234,117,117,10,0,10,10,16,10,0,0,7: Magic,2203,160,200,100,70,Rakunda: 50,Attack: 50,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Rakunda: level 0,Persuade: level 0,Analyze: level 0,Fire Boost: level 1,Elec Boost: level 2,Ice Boost: level 3,Force Boost: level 4,,,,,,0b100010011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
Ara Mitama,8,0,0,1281,256,0,64,0,8,25,210,210,105,105,12,0,10,10,10,10,0,0,7: Magic,2203,130,150,13,70,Attack: 35,Lunge: 35,Tarukaja: 30,None: 0,None: 0,Tarukaja: 100,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,None: 0,Tarukaja: level 0,Bright Might: level 0,Analyze: level 0,Life Aid: level 1,Life Refill: level 2,Counter: level 3,Lunge: level 4,,,,,,0b100010011011,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
